FID,SHAPE,NAME,BEZEICHNUNG,SE_SDO_ROWID,SE_ANNO_CAD_DATA
UNIVERSITAETOGD.1546245,POINT (16.361390353993087 48.21805393787998),Universität Wien,Berggasse,1546245,
UNIVERSITAETOGD.1546246,POINT (16.35642591792597 48.21526086575421),Universität Wien,Garnisongasse,1546246,
UNIVERSITAETOGD.1546247,POINT (16.36241673814897 48.21495246843128),Universität Wien,Maria-Theresien-Straße 3,1546247,
UNIVERSITAETOGD.1546248,POINT (16.360543360655598 48.22902914049395),Universität Wien,UZA IV,1546248,
UNIVERSITAETOGD.1546249,POINT (16.358263414175816 48.21475269032705),Universität Wien,Fakultät für Sozialwissenschaften,1546249,
UNIVERSITAETOGD.1546250,POINT (16.35454004045405 48.22015234054115),Universität Wien,Sensengasse 3a,1546250,
UNIVERSITAETOGD.1546251,POINT (16.355410761473575 48.22020699253599),Universität Wien,Sensengasse 8,1546251,
UNIVERSITAETOGD.1546252,POINT (16.35292317323075 48.22030968166838),Universität Wien,Spitalgasse 14,1546252,
UNIVERSITAETOGD.1546253,POINT (16.351350792743386 48.21624134156441),Universität Wien,Campus der,1546253,
UNIVERSITAETOGD.1546254,POINT (16.35570485597903 48.221738027617356),Universität Wien,Fakultät für Physik,1546254,
UNIVERSITAETOGD.1546255,POINT (16.357800470505246 48.218437161163074),Universität Wien,Währinger Straße 17,1546255,
UNIVERSITAETOGD.1546256,POINT (16.35536816421542 48.22109001984962),Universität Wien,Fakultät für Chemie,1546256,
UNIVERSITAETOGD.1546257,POINT (16.317042441012823 48.203841449127175),Universität Wien,Universitätssportzentrum USZ I,1546257,
UNIVERSITAETOGD.1546258,POINT (16.34345902384054 48.22405999029442),Universität Wien,Publizistik,1546258,
UNIVERSITAETOGD.1546259,POINT (16.334166488257498 48.23143539393349),Universität Wien,Sternwarte,1546259,
UNIVERSITAETOGD.1546260,POINT (16.348984783975943 48.23350876049785),Universität Wien,Franz-Klein-Gasse 1,1546260,
UNIVERSITAETOGD.1546261,POINT (16.347688599602268 48.23340182670886),Universität Wien,Translationswissenschaft,1546261,
UNIVERSITAETOGD.1546262,POINT (16.34304241157092 48.19981582982973),Alpen-Adria-Universität Klagenfurt,IFF Standort Wien,1546262,
UNIVERSITAETOGD.1545931,POINT (16.408860446502068 48.21384341856702),Wirtschaftsuniversität Wien,LC - Hauptgebäude,1545931,
UNIVERSITAETOGD.1545932,POINT (16.40990387836498 48.21274722310716),Wirtschaftsuniversität Wien,D1 TC,1545932,
