FID,OBJECTID,SHAPE,ADRESSE,AUSNAHME_TXT,STELLPL_ANZ,WEITERE_INF,SE_ANNO_CAD_DATA
PARKENANRAINEROGD.350726,350726,"LINESTRING (16.345724799990467 48.19395315496542, 16.345917794775783 48.19376896907955)","6, Haydngasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 6. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350727,350727,"LINESTRING (16.352037179175376 48.20966011187417, 16.351983835390637 48.20983667328295)","8, Lange Gasse 35 bis 35A",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350728,350728,"LINESTRING (16.352026892102327 48.2104087961775, 16.352490971218792 48.21047001248787)","8, Schmidgasse 13 bis 15",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,7,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350729,350729,"LINESTRING (16.35406594021875 48.21082401309027, 16.35404200555747 48.21109348938955)","8, Lenaugasse 14 bis 16",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350730,350730,"LINESTRING (16.35049647886595 48.21060543316345, 16.35076703637816 48.210603019033044)","8, Maria-Treu-Gasse 6 bis 8",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,4,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350731,350731,"LINESTRING (16.35022825277174 48.211145378427716, 16.35010167541349 48.21172407647847)","8, Piaristengasse 56-58 bis 62",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,13,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350732,350732,"LINESTRING (16.353136056217572 48.21109739459945, 16.353258386790575 48.21070048403269)","8, Buchfeldgasse 10 bis 14",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,9,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350733,350733,"LINESTRING (16.354015106763715 48.213477711283204, 16.35407134908796 48.21324464675686)","8, Wickenburggasse 16 bis 18-22",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,5,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350734,350734,"LINESTRING (16.353897696787712 48.21358869740059, 16.353878020686707 48.213684504677296, 16.35382039500585 48.21409428505482)","8, Wickenburggasse 15 bis 19",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,11,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
PARKENANRAINEROGD.350735,350735,"LINESTRING (16.353027932268787 48.21474503684686, 16.35305276313485 48.21447377565439)","8, Schlösselgasse 21",ausg. Fahrzeuge mit Parkkleber für den 8. Bezirk,6,http://www.wien.gv.at/verkehr/parken/kurzparkzonen/anrainerparken/index.html,
