FID,OBJECTID,SHAPE,LBEZEICHNUNG,LTYP,LTYPTXT,SE_ANNO_CAD_DATA
OEFFLINIENOGD.235,235,"LINESTRING (16.37057670402574 48.21022647316681, 16.37059893557658 48.21030051178573, 16.371275620159377 48.210728607242636, 16.37206407123225 48.21127107037301)",3A,2,Autobus,
OEFFLINIENOGD.236,236,"LINESTRING (16.373490499991902 48.20963359631681, 16.373543875895994 48.209675415172335, 16.374128017992312 48.21010162017476)","1A, 2A, 3A",2,Autobus,
OEFFLINIENOGD.237,237,"LINESTRING (16.372902731327077 48.209173082936495, 16.373490499991902 48.20963359631681)","1A, 2A, 3A",2,Autobus,
OEFFLINIENOGD.238,238,"LINESTRING (16.37057670402574 48.21022647316681, 16.371299847386254 48.20987980608527, 16.372797364205343 48.209180731183515, 16.372902731327077 48.209173082936495)","1A, 2A, 3A",2,Autobus,
OEFFLINIENOGD.239,239,"LINESTRING (16.372902731327077 48.209173082936495, 16.372934257694293 48.20905057588125, 16.373330153256862 48.208857117393535, 16.373788355924344 48.20868148405996, 16.37481160766591 48.20841345544152, 16.375091864911134 48.208309259196476, 16.37546558162278 48.20822585126782, 16.37603502831975 48.208068015931104, 16.37641315269875 48.207934040144124, 16.377591907333013 48.20740716683317, 16.379433378244357 48.20657665371384, 16.379571313605208 48.20657362663889, 16.3801235614895 48.207150433039196, 16.380119176011608 48.20722479302051, 16.379976832896425 48.20727838478501, 16.377361044138432 48.20805565005088, 16.37615989621451 48.20841894106593, 16.375617178074993 48.208621382964736, 16.37515008564395 48.208800001555446, 16.374376108822247 48.20918989690617, 16.373490499991902 48.20963359631681)",3A,2,Autobus,
OEFFLINIENOGD.240,240,"LINESTRING (16.352918251009243 48.19941924774123, 16.354000047177077 48.19976031976614, 16.355267275836223 48.20014558644913, 16.355913419006246 48.200312899248765)",13A,2,Autobus,
OEFFLINIENOGD.241,241,"LINESTRING (16.29061297449486 48.20665309628175, 16.290913315194945 48.20672535878072, 16.292415218947433 48.20706857968021, 16.295632837982286 48.20755040533998, 16.30303643658754 48.20865683430632, 16.30337105879725 48.20866168820063, 16.30457012857341 48.20847280904708, 16.30478937619338 48.20853568711291)",48A,2,Autobus,
OEFFLINIENOGD.242,242,"LINESTRING (16.336744511761005 48.20418362731348, 16.33367108658756 48.2040311217321, 16.328273837283298 48.20486369070082, 16.3224092042022 48.20572272166628, 16.318248657026338 48.20635865582885, 16.317194644468877 48.20652707123593)",48A,2,Autobus,
OEFFLINIENOGD.243,243,"LINESTRING (16.220557413302117 48.207292022858596, 16.22152254500596 48.207207893076934, 16.22184289394817 48.20722010883469)","50A, 50B",2,Autobus,
OEFFLINIENOGD.244,244,"LINESTRING (16.21951083649021 48.20740812449558, 16.218349134821633 48.207552682724305, 16.21645282333276 48.207868977246065, 16.216315055563246 48.20779447553547, 16.215925677416557 48.206854186605284, 16.21602829720142 48.20673532118179, 16.219268990391118 48.206137847570844, 16.219441842877636 48.206127634097236)","50A, 50B",2,Autobus,
OEFFLINIENOGD.245,245,"LINESTRING (16.219441842877636 48.206127634097236, 16.21951083649021 48.20740812449558)",50A,2,Autobus,
OEFFLINIENOGD.246,246,"LINESTRING (16.223961592600553 48.208989932042506, 16.225085410541524 48.20864560053925, 16.227094920909735 48.20781590525821, 16.227500923183545 48.207727059881364, 16.228045657697 48.20768474289689, 16.22845139696771 48.2077208145814, 16.22895847817158 48.20781051747622, 16.229572539378523 48.20781108783338, 16.230426958770934 48.20777618385341, 16.231468280200172 48.207734305807655, 16.231831565777316 48.207641837778056, 16.232163006511744 48.20745297160747, 16.23277854886461 48.206714706702186, 16.233340551095225 48.20604063518722, 16.233522448604965 48.20586233863334, 16.23374168635364 48.20570192109378, 16.23455943259495 48.20529219072307, 16.235323702980313 48.20491809981803, 16.23563366526908 48.20477560327369, 16.23590610344353 48.204708026905905, 16.23619444194892 48.20470113892036, 16.237043308656563 48.204748272523375, 16.237427809432642 48.204712911757284, 16.237844462325167 48.204616900159216, 16.23845885300872 48.20442468770505, 16.238800865718375 48.2042679340321, 16.239068046366295 48.204153946279924, 16.23941531444866 48.204040024351535, 16.240099014863805 48.20389426079492, 16.24213397119248 48.203514039255424, 16.243602520848434 48.20336889332796, 16.244392773936767 48.203340972719666, 16.24516688266324 48.203384417333524, 16.245201824758666 48.20338727510677)",50A,2,Autobus,
OEFFLINIENOGD.247,247,"LINESTRING (16.25516228963879 48.199740614816974, 16.254533365876032 48.19907273363456, 16.254383886560653 48.19906905814713, 16.25253519090677 48.199981440123146, 16.25142923671432 48.200473178555654, 16.25074019168157 48.20066897446389, 16.250136695666647 48.200786307959895, 16.249538633676245 48.20084653561892, 16.24880719209196 48.20084955136915, 16.248220011124744 48.200788428117, 16.247515480532055 48.200666536295806, 16.246693597446612 48.20048744134025, 16.2456830411891 48.200328734596816, 16.24462245078854 48.20028982514791, 16.243618594138137 48.20036992336647, 16.242372523330047 48.20054975343809, 16.240150806725623 48.200938152329904, 16.235707247740134 48.20172909692704, 16.23457486466855 48.20198508335585, 16.233841084343112 48.20226045047208, 16.233235369389366 48.202569239163005, 16.23235488525688 48.20308643796988, 16.231866971967484 48.20334846750441, 16.231432425288393 48.20349083972594, 16.230891219783935 48.20357124686286, 16.2306672791518 48.20356434907593)",50B,2,Autobus,
