FID,OBJECTID,SHAPE,GARAGE_ID,BETREIBER,BEZEICHNUNG,PLZ,ORT,ADRESSE,WEBLINK_BETR_DE,WEBLINK_BETR_EN,WEBLINK_WK_DE,WEBLINK_WK_EN,LONGITUDE,LATITUDE,PARK_AND_RIDE,BEHINDERTENPARKPL,SE_ANNO_CAD_DATA
GARAGENOGD.376722,376722,POINT (16.317231478166438 48.22505262718443),3344,APCOA Parking Austria GmbH,Leopold-Kunschak-Platz,1170,Wien,Leopold-Kunschak-Platz,http://www.apcoa.at/parken-in/wien/leopold-kunschak-platz.html,http://www.apcoa.at/en/parking-in/wien/leopold-kunschak-platz.html,http://www.parken.at/garage/3344/,http://www.parken.at/en/garage/3344/,16.3172399998,48.2250586224,N,N,
GARAGENOGD.376723,376723,POINT (16.357904271531865 48.20681586579471),2169,APCOA Parking Austria GmbH,Schmerlingplatz,1010,Wien,Schmerlingplatz,http://www.apcoa.at/parken-in/wien/parkplatz-schmerlingplatz.html,http://www.apcoa.at/en/parking-in/wien/surface-car-park-schmerlingplatz.html,http://www.parken.at/garage/2169/,http://www.parken.at/en/garage/2169/,16.3579130173,48.2068217988,N,N,
GARAGENOGD.376724,376724,POINT (16.41395147189419 48.23201384159907),3364,APCOA Parking Austria GmbH,Tech Gate,1220,Wien,Donau-City-Straße 1,http://www.apcoa.at/parken-in/wien/tech-gate.html,http://www.apcoa.at/en/parking-in/wien/tech-gate.html,http://www.parken.at/garage/3364/,http://www.parken.at/en/garage/3364/,16.4139604568,48.2320199298,N,N,
GARAGENOGD.376725,376725,POINT (16.386271160427146 48.195782007379165),3309,APCOA Parking Austria GmbH,Zentrum Rennweg,1030,Wien,Ungargasse 66,http://www.apcoa.at/parken-in/wien/zentrum-rennweg.html,http://www.apcoa.at/en/parking-in/wien/zentrum-rennweg.html,http://www.parken.at/garage/3309/,http://www.parken.at/en/garage/3309/,16.3862800598,48.1957879054,N,N,
GARAGENOGD.376726,376726,POINT (16.347100394439543 48.212199638098234),3319,APCOA Parking Austria GmbH,Schlesingerplatz,1080,Wien,Schlesingerplatz,http://www.apcoa.at/parken-in/wien/schlesingerplatz.html,http://www.apcoa.at/en/parking-in/wien/schlesingerplatz.html,http://www.parken.at/garage/3319/,http://www.parken.at/en/garage/3319/,16.3471090794,48.2122055902,N,N,
GARAGENOGD.376727,376727,POINT (16.341360473491168 48.19693344153003),3316,APCOA Parking Austria GmbH,STAFA Tower,1070,Wien,Kaiserstrasse 7,http://www.apcoa.at/parken-in/wien/parkplatz.html,http://www.apcoa.at/en/parking-in/wien/parkplatz.html,http://www.parken.at/garage/3316/,http://www.parken.at/en/garage/3316/,16.3413691521,48.1969393171,N,N,
GARAGENOGD.376728,376728,POINT (16.367345667840066 48.254470744315164),3352,APCOA Parking Austria GmbH,Q19 - Einkaufsquartier Döbling,1190,Wien,Grinzinger Straße 112,http://www.apcoa.at/parken-in/wien/q19-einkaufsquartier-doebling.html,http://www.apcoa.at/en/parking-in/wien/q19-einkaufsquartier-doebling.html,http://www.parken.at/garage/3352/,http://www.parken.at/en/garage/3352/,16.367354393,48.2544769107,N,N,
GARAGENOGD.376729,376729,POINT (16.36029675634933 48.18229934877795),3313,APCOA Parking Austria GmbH,Wiedner Hauptstrasse,1050,Wien,Hollgasse 2-6,http://www.apcoa.at/parken-in/wien/wiedner-hauptstrasse.html,http://www.apcoa.at/en/parking-in/wien/wiedner-hauptstrasse.html,http://www.parken.at/garage/3313/,http://www.parken.at/en/garage/3313/,16.3603055477,48.1823051669,N,N,
GARAGENOGD.376730,376730,POINT (16.38351388698809 48.21323626438356),3300,APCOA Parking Austria GmbH,Uniqa Tower,1020,Wien,Ferdinandstraße 20,http://www.apcoa.at/parken-in/wien/uniqa-tower.html,http://www.apcoa.at/en/parking-in/wien/uniqa-tower.html,http://www.parken.at/garage/3300/,http://www.parken.at/en/garage/3300/,16.3835227489,48.2132422447,N,N,
GARAGENOGD.376731,376731,POINT (16.343602800318205 48.20424176246372),3315,APCOA Parking Austria GmbH,Burggasse,1070,Wien,Burggasse 85,http://www.apcoa.at/parken-in/wien/burggasse.html,http://www.apcoa.at/en/parking-in/wien/burggasse.html,http://www.parken.at/garage/3315/,http://www.parken.at/en/garage/3315/,16.3436114788,48.2042476746,N,N,
